,Tweets,len,ID,Date,Source,Likes,RT
0,"RT @GOPChairwoman: ""China and who can best rebuild our economy will be the dominant issues on Election Day and that’s bad news for Joe Bide…",140,1261514511057641472,2020-05-16 04:31:11,Twitter for iPhone,0,3552
1,Hello to India! https://t.co/iiR20ZLKrE,39,1261514269822201856,2020-05-16 04:30:14,Twitter for iPhone,77874,16586
2,I’ll do it again! https://t.co/ND3yBfM1lJ,41,1261512626028318720,2020-05-16 04:23:42,Twitter for iPhone,60579,14452
3,My Hero. New York’s Finest! https://t.co/KOhZ6BHhxc,51,1261511702253916160,2020-05-16 04:20:02,Twitter for iPhone,30140,6672
4,RT @DonaldJTrumpJr: Joe #BeijingBiden has spent the last half century in politics putting China first! Only @realDonaldTrump will always pu…,140,1261511271062659073,2020-05-16 04:18:19,Twitter for iPhone,0,6366
5,"RT @Mike_Pence: Proud to welcome General Jay Raymond, Chief of Space Operations, United States Space Force, to my Ceremonial Office after t…",140,1261511160110686213,2020-05-16 04:17:52,Twitter for iPhone,0,3855
6,"RT @KevinVesey: The level of anger directed at the media from these protestors was alarming. As always, I will tell a fair and unbiased sto…",140,1261509800053129222,2020-05-16 04:12:28,Twitter for iPhone,0,29458
7,RT @paulsperry_: Obama officials were spying on incoming National Security Adviser Flynn's foreign calls weeks before his controversial pho…,140,1261500608550494209,2020-05-16 03:35:57,Twitter for iPhone,0,6640
8,"Another Fake Whistleblower. Republicans must do something about these terrible people, and now! https://t.co/OVgB5jkzDO",119,1261500227493801984,2020-05-16 03:34:26,Twitter for iPhone,32729,10527
9,"“FAKE NEWS IS NOT ESSENTIAL!”
https://t.co/5286zgRVWQ",53,1261470041221902338,2020-05-16 01:34:29,Twitter for iPhone,83751,23494
10,"RT @PressSec: FACT CHECK: President @realDonaldTrump DID NOT dismantle the pandemic response office.

The NSC’s Counter-proliferation and B…",140,1261439344331624448,2020-05-15 23:32:30,Twitter for iPhone,0,11230
11,"RT @IvankaTrump: Two years ago today @realDonaldTrump kept his promise and opened the U.S. Embassy in Jerusalem. 

I was honored to be in I…",140,1261439078022565889,2020-05-15 23:31:27,Twitter for iPhone,0,10208
12,RT @realDonaldTrump: Today I was presented with the brand new @SpaceForceDoD flag in the Oval Office. I will take Great Pride in displaying…,140,1261437097702907904,2020-05-15 23:23:35,Twitter for iPhone,0,18640
13,RT @realDonaldTrump: https://t.co/v4XFSs5NBg,44,1261421118734233601,2020-05-15 22:20:05,Twitter for iPhone,0,12383
14,https://t.co/cxDQMyaQD8,23,1261418042103230464,2020-05-15 22:07:51,Twitter for iPhone,38632,9843
15,"RT @TeamTrump: President @realDonaldTrump to NYPD officer who recovered from #Coronavirus: “You’re my hero."" https://t.co/3bRiDuUfN6",132,1261411774592700418,2020-05-15 21:42:57,Twitter for iPhone,0,10213
16,Such a wonderful reception yesterday in Pennsylvania. Thank you! #MAGA https://t.co/lNQMxRqDiA,94,1261373283536175104,2020-05-15 19:10:00,Twitter for iPhone,133898,32053
17,I am proud to announce that the United States will donate ventilators to our friends in India. We stand with India… https://t.co/2VbAR4CwRf,139,1261368451555360774,2020-05-15 18:50:48,Twitter for iPhone,299498,65899
18,Today I was presented with the brand new @SpaceForceDoD flag in the Oval Office. I will take Great Pride in display… https://t.co/TLyJHN76fc,140,1261362777517678593,2020-05-15 18:28:15,Twitter for iPhone,71144,18640
19,"RT @WhiteHouse: Recent data ""made me feel even more confident"" that a vaccine will be available by the end of 2020, Dr. Moncef Slaoui says.…",140,1261362486067949569,2020-05-15 18:27:06,Twitter for iPhone,0,5338
20,"RT @WhiteHouse: Operation Warp Speed is ""a massive scientific, industrial, and logistical endeavor unlike anything our country has seen sin…",140,1261362431617449985,2020-05-15 18:26:53,Twitter for iPhone,0,6550
21,RT @WhiteHouse: LIVE: POTUS Delivers Remarks on Vaccine Development https://t.co/ktpk4urgB1,91,1261335926174814208,2020-05-15 16:41:33,Twitter for iPhone,0,6567
22,Chicago’s @CTA has big federal resources heading its way to keep the transit system operational and to keep people… https://t.co/vy7UQnWmOG,139,1261304214317301761,2020-05-15 14:35:33,Twitter for iPhone,53639,12878
23,I am proud to announce that @NJTransit will receive $1.4B in CARES Act funding to assist in their continued operati… https://t.co/R2ITK5Uhrq,140,1261302802296561668,2020-05-15 14:29:56,Twitter for iPhone,53475,12162
24,"....Likewise, the @nytimes and @washingtonpost are a disgrace to journalism. They are all Fake News, and they know… https://t.co/W7F1gBgdVX",139,1261270085244792832,2020-05-15 12:19:56,Twitter for iPhone,84191,21231
25,"Thank you to @foxandfriends for covering, supremely, the greatest political scandal in the history of the United St… https://t.co/Wq68KkiSrN",140,1261270084644896768,2020-05-15 12:19:56,Twitter for iPhone,128219,34900
